Level,Subject,Year,Session month,Month code,QP PDFs,JSON created,Not created,Status,Parse failed,Missing MS,Errors,Low answer match
A-Level,"Biology",2020,"January",01,4,3,1,Partial,1,0,0,0
A-Level,"Biology",2020,"October session",10,6,3,3,Partial,2,1,0,0
A-Level,"Biology",2021,"January",01,6,4,2,Partial,2,0,0,0
A-Level,"Biology",2021,"April session",04,1,0,1,None,0,1,0,0
A-Level,"Biology",2021,"May-June session",06,6,5,1,Partial,1,0,0,0
A-Level,"Biology",2021,"October session",10,7,6,1,Partial,0,1,0,0
A-Level,"Biology",2022,"January",01,7,4,3,Partial,2,1,0,0
A-Level,"Biology",2022,"May session",05,1,0,1,None,0,1,0,0
A-Level,"Biology",2022,"May-June session",06,6,5,1,Partial,1,0,0,0
A-Level,"Biology",2022,"October session",10,6,5,1,Partial,1,0,0,0
A-Level,"Biology",2023,"January",01,7,6,1,Partial,0,1,0,0
A-Level,"Biology",2023,"May-June session",06,5,3,2,Partial,2,0,0,0
A-Level,"Biology",2023,"October session",10,8,4,4,Partial,2,2,0,0
A-Level,"Biology",2024,"January",01,7,5,2,Partial,1,1,0,0
A-Level,"Biology",2024,"May session",05,1,0,1,None,0,1,0,0
A-Level,"Biology",2024,"May-June session",06,5,5,0,All,0,0,0,0
A-Level,"Biology",2024,"October session",10,7,4,3,Partial,2,1,0,0
A-Level,"Biology",2025,"January",01,6,6,0,All,0,0,0,0
A-Level,"Biology",2025,"May-June session",06,5,4,1,Partial,1,0,0,0
A-Level,"Biology",2025,"October session",10,24,16,8,Partial,8,0,0,0
A-Level,"Business",2019,"January",01,1,1,0,All,0,0,0,0
A-Level,"Business",2019,"May-June session",06,2,1,1,Partial,1,0,0,0
A-Level,"Business",2019,"October session",10,2,1,1,Partial,1,0,0,0
A-Level,"Business",2020,"January",01,3,3,0,All,0,0,0,0
A-Level,"Business",2020,"October session",10,4,1,3,Partial,3,0,0,0
A-Level,"Business",2021,"January",01,4,3,1,Partial,1,0,0,0
A-Level,"Business",2021,"May-June session",06,4,3,1,Partial,1,0,0,0
A-Level,"Business",2021,"October session",10,4,3,1,Partial,1,0,0,0
A-Level,"Business",2022,"January",01,4,3,1,Partial,1,0,0,0
A-Level,"Business",2022,"May-June session",06,4,3,1,Partial,1,0,0,0
A-Level,"Business",2022,"October session",10,4,2,2,Partial,2,0,0,0
A-Level,"Business",2023,"January",01,4,3,1,Partial,1,0,0,0
A-Level,"Business",2023,"May-June session",06,4,2,2,Partial,2,0,0,0
A-Level,"Business",2023,"October session",10,4,3,1,Partial,1,0,0,0
A-Level,"Business",2024,"January",01,4,3,1,Partial,1,0,0,0
A-Level,"Business",2024,"May-June session",06,4,4,0,All,0,0,0,0
A-Level,"Business",2024,"October session",10,4,2,2,Partial,1,1,0,0
A-Level,"Business",2025,"January",01,4,1,3,Partial,3,0,0,0
A-Level,"Business",2025,"May-June session",06,4,3,1,Partial,1,0,0,0
A-Level,"Business",2025,"October session",10,8,6,2,Partial,2,0,0,0
A-Level,"Chemistry",2019,"January",01,1,1,0,All,0,0,0,0
A-Level,"Chemistry",2019,"May-June session",06,3,2,1,Partial,1,0,0,0
A-Level,"Chemistry",2019,"October session",10,3,2,1,Partial,0,1,0,0
A-Level,"Chemistry",2020,"January",01,4,4,0,All,0,0,0,0
A-Level,"Chemistry",2020,"October session",10,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2021,"January",01,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2021,"May-June session",06,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2021,"October session",10,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2022,"January",01,7,6,1,Partial,0,1,0,0
A-Level,"Chemistry",2022,"May-June session",06,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2022,"October session",10,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2023,"January",01,6,5,1,Partial,1,0,0,0
A-Level,"Chemistry",2023,"May-June session",06,5,3,2,Partial,2,0,0,0
A-Level,"Chemistry",2023,"October session",10,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2024,"January",01,6,5,1,Partial,1,0,0,0
A-Level,"Chemistry",2024,"May-June session",06,7,7,0,All,0,0,0,0
A-Level,"Chemistry",2024,"October session",10,5,4,1,Partial,0,1,0,0
A-Level,"Chemistry",2025,"January",01,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2025,"May-June session",06,6,6,0,All,0,0,0,0
A-Level,"Chemistry",2025,"October session",10,24,24,0,All,0,0,0,0
A-Level,"Computer Science",2021,"May-June session",06,16,10,6,Partial,3,3,0,0
A-Level,"Computer Science",2021,"October-November session",11,10,3,7,Partial,3,4,0,0
A-Level,"Computer Science",2022,"October-November session",11,12,4,8,Partial,4,4,0,0
A-Level,"Computer Science",2023,"May-June session",06,12,6,6,Partial,2,4,0,0
A-Level,"Computer Science",2023,"October-November session",11,12,6,6,Partial,2,4,0,0
A-Level,"Computer Science",2024,"May-June session",06,12,4,8,Partial,4,4,0,0
A-Level,"Computer Science",2024,"October-November session",11,12,4,8,Partial,4,4,0,0
A-Level,"Computer Science",2025,"May-June session",06,12,2,10,Partial,6,4,0,0
A-Level,"Computer Science",2025,"October-November session",11,12,7,5,Partial,5,0,0,0
A-Level,"Economics",2019,"January",01,1,1,0,All,0,0,0,0
A-Level,"Economics",2019,"May-June session",06,2,2,0,All,0,0,0,0
A-Level,"Economics",2019,"October session",10,2,2,0,All,0,0,0,0
A-Level,"Economics",2020,"January",01,3,3,0,All,0,0,0,0
A-Level,"Economics",2020,"October session",10,4,0,4,None,4,0,0,0
A-Level,"Economics",2021,"January",01,4,0,4,None,4,0,0,0
A-Level,"Economics",2021,"May-June session",06,5,4,1,Partial,0,1,0,0
A-Level,"Economics",2021,"October session",10,4,4,0,All,0,0,0,0
A-Level,"Economics",2022,"January",01,6,6,0,All,0,0,0,0
A-Level,"Economics",2022,"May-June session",06,4,4,0,All,0,0,0,0
A-Level,"Economics",2022,"October session",10,4,4,0,All,0,0,0,0
A-Level,"Economics",2023,"January",01,4,4,0,All,0,0,0,0
A-Level,"Economics",2023,"May-June session",06,4,4,0,All,0,0,0,0
A-Level,"Economics",2023,"October session",10,4,4,0,All,0,0,0,0
A-Level,"Economics",2024,"January",01,4,4,0,All,0,0,0,0
A-Level,"Economics",2024,"May-June session",06,4,4,0,All,0,0,0,0
A-Level,"Economics",2024,"October session",10,4,2,2,Partial,1,1,0,0
A-Level,"Economics",2025,"January",01,1,1,0,All,0,0,0,0
A-Level,"Economics",2025,"May-June session",06,1,1,0,All,0,0,0,0
A-Level,"Mathematics",2019,"January",01,1,0,1,None,1,0,0,0
A-Level,"Mathematics",2019,"May-June session",06,2,0,2,None,1,1,0,0
A-Level,"Mathematics",2019,"October session",10,1,1,0,All,0,0,0,0
A-Level,"Mathematics",2020,"January",01,3,1,2,Partial,2,0,0,0
A-Level,"Mathematics",2020,"October session",10,6,3,3,Partial,2,1,0,0
A-Level,"Mathematics",2021,"January",01,7,5,2,Partial,1,1,0,0
A-Level,"Mathematics",2021,"May-June session",06,6,2,4,Partial,3,1,0,0
A-Level,"Mathematics",2021,"October session",10,7,3,4,Partial,3,1,0,0
A-Level,"Mathematics",2022,"January",01,7,5,2,Partial,2,0,0,0
A-Level,"Mathematics",2022,"May-June session",06,6,5,1,Partial,0,1,0,0
A-Level,"Mathematics",2022,"October session",10,4,3,1,Partial,1,0,0,0
A-Level,"Mathematics",2023,"January",01,4,3,1,Partial,1,0,0,0
A-Level,"Mathematics",2023,"May-June session",06,7,5,2,Partial,0,2,0,0
A-Level,"Mathematics",2023,"October session",10,5,4,1,Partial,1,0,0,0
A-Level,"Mathematics",2024,"January",01,6,4,2,Partial,1,1,0,0
A-Level,"Mathematics",2024,"May-June session",06,5,3,2,Partial,2,0,0,0
A-Level,"Mathematics",2024,"October session",10,5,4,1,Partial,1,0,0,0
A-Level,"Mathematics",2025,"January",01,5,4,1,Partial,1,0,0,0
A-Level,"Mathematics",2025,"May-June session",06,8,6,2,Partial,2,0,0,0
A-Level,"Mathematics",2025,"October session",10,11,8,3,Partial,2,1,0,0
A-Level,"Physics",2019,"January",01,1,1,0,All,0,0,0,0
A-Level,"Physics",2019,"May-June session",06,2,1,1,Partial,1,0,0,0
A-Level,"Physics",2019,"October session",10,4,1,3,Partial,3,0,0,0
A-Level,"Physics",2020,"January",01,5,3,2,Partial,2,0,0,0
A-Level,"Physics",2020,"October session",10,6,6,0,All,0,0,0,0
A-Level,"Physics",2021,"January",01,5,4,1,Partial,0,1,0,0
A-Level,"Physics",2021,"May-June session",06,5,5,0,All,0,0,0,0
A-Level,"Physics",2021,"October session",10,5,1,4,Partial,4,0,0,0
A-Level,"Physics",2022,"January",01,9,4,5,Partial,5,0,0,0
A-Level,"Physics",2022,"May-June session",06,5,4,1,Partial,1,0,0,0
A-Level,"Physics",2022,"October session",10,7,4,3,Partial,1,2,0,0
A-Level,"Physics",2023,"January",01,7,6,1,Partial,1,0,0,0
A-Level,"Physics",2023,"May-June session",06,5,5,0,All,0,0,0,0
A-Level,"Physics",2023,"October session",10,6,4,2,Partial,1,1,0,0
A-Level,"Physics",2024,"January",01,6,6,0,All,0,0,0,0
A-Level,"Physics",2024,"May-June session",06,9,8,1,Partial,1,0,0,0
A-Level,"Physics",2024,"October session",10,6,4,2,Partial,1,1,0,0
A-Level,"Physics",2025,"January",01,7,5,2,Partial,0,2,0,0
A-Level,"Physics",2025,"May-June session",06,8,6,2,Partial,2,0,0,0
A-Level,"Physics",2025,"October session",10,13,13,0,All,0,0,0,0
A-Level,"Travel & Tourism",2008,"October-November session",11,3,0,3,None,3,0,0,0
A-Level,"Travel & Tourism",2009,"October-November session",11,2,0,2,None,2,0,0,0
A-Level,"Travel & Tourism",2010,"May-June session",06,2,0,2,None,0,2,0,0
A-Level,"Travel & Tourism",2010,"October-November session",11,3,0,3,None,3,0,0,0
A-Level,"Travel & Tourism",2011,"October-November session",11,3,0,3,None,3,0,0,0
A-Level,"Travel & Tourism",2012,"May-June session",06,3,0,3,None,3,0,0,0
A-Level,"Travel & Tourism",2012,"October-November session",11,2,0,2,None,2,0,0,0
A-Level,"Travel & Tourism",2013,"May-June session",06,7,0,7,None,4,3,0,0
A-Level,"Travel & Tourism",2013,"October-November session",11,7,0,7,None,3,4,0,0
A-Level,"Travel & Tourism",2014,"May-June session",06,6,0,6,None,5,1,0,0
A-Level,"Travel & Tourism",2014,"October-November session",11,7,0,7,None,6,1,0,0
A-Level,"Travel & Tourism",2015,"May-June session",06,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2015,"October-November session",11,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2016,"May-June session",06,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2016,"October-November session",11,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2017,"May-June session",06,9,6,3,Partial,0,3,0,0
A-Level,"Travel & Tourism",2017,"October-November session",11,9,6,3,Partial,0,3,0,0
A-Level,"Travel & Tourism",2018,"May-June session",06,9,6,3,Partial,0,3,0,0
A-Level,"Travel & Tourism",2018,"October-November session",11,7,5,2,Partial,0,2,0,0
A-Level,"Travel & Tourism",2019,"May-June session",06,9,6,3,Partial,0,3,0,0
A-Level,"Travel & Tourism",2019,"October-November session",11,9,6,3,Partial,0,3,0,0
A-Level,"Travel & Tourism",2020,"May-June session",06,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2020,"October-November session",11,9,2,7,Partial,4,3,0,0
A-Level,"Travel & Tourism",2021,"May-June session",06,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2021,"October-November session",11,6,0,6,None,3,3,0,0
A-Level,"Travel & Tourism",2022,"May-June session",06,9,1,8,Partial,5,3,0,0
A-Level,"Travel & Tourism",2022,"October-November session",11,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2023,"May-June session",06,9,2,7,Partial,4,3,0,0
A-Level,"Travel & Tourism",2023,"October-November session",11,9,0,9,None,6,3,0,0
A-Level,"Travel & Tourism",2024,"May-June session",06,9,1,8,Partial,5,3,0,0
A-Level,"Travel & Tourism",2024,"October-November session",11,8,2,6,Partial,4,2,0,0
A-Level,"Travel & Tourism",2025,"May-June session",06,9,1,8,Partial,5,3,0,0
